WELL	TOP	DEPTH
KJ-7	Kand	684.48
KJ-7	Babaguru	836.02
KJ-7	Tarapur	1066.25
KJ-7	Kalol Top	1272.00
KJ-7	K-III-Coal-1	1330.66
KJ-7	K-III-A-Upper	1332.43
KJ-7	K-III-A-Lower	1338.56
KJ-7	K-III-Coal-2	1346.49
KJ-7	K-III-B	1347.60
KJ-7	K-IV-Coal-1	1359.77
KJ-7	K-IV-Sand-1	1362.05
KJ-7	K-IV-Coal-2	1380.56
KJ-7	K-IV-Sand-2	1382.29
KJ-7	K-V-Coal	1395.37
KJ-7	K-V	1398.42
KJ-7	K-VII	1423.53
KJ-7	K-VIII-Coal	1429.47
KJ-7	K-VIII	1432.86
KJ-7	K-IX-Coal	1451.47
KJ-7	K-IX	1465.78
KJ-7	K-X-Coal	1474.75
KJ-7	K-X	1477.69
KJ-7	K-XI	1488.96
KJ-7	YCS Top	1536.85
